Assay,R.squared,Slope,Intercept,Low.95,LOD,LOQ,rep2.LOD,rep3.LOD,rep4.LOD,rep5.LOD,rep8.LOD
AC1,0.996772904,-3.290445559,39.98370335,10,2.206378942,10,0.915411617,0.547171529,0.379798054,0.286124931,0.15757563
AC1_CID_1,0.99012804,-3.670736857,40.31233681,192,50.97652719,184,16.47216046,10.80051737,8.540030206,7.314945647,5.59564254
AC3,0.995379844,-3.273909606,38.05939959,10,2.196942381,9,0.947623619,0.57945223,0.408745596,0.311810321,0.176307301
BH1,0.998688455,-3.264863327,39.36975861,10,5.13189311,32,1.896903114,1.059754753,0.701152839,0.508938056,0.259167324
BH2,0.99867239,-3.353779833,38.32461527,10,9.040656751,56,2.618768297,1.268606853,0.75856739,0.509053849,0.219730965
BHC,0.987936428,-3.555764233,40.62731174,10,15.94234097,15.94234097,6.399194101,4.316468034,3.358365032,2.784570671,1.867273823
D-loop,0.98317433,-3.610813572,45.19273759,10,2.813560272,6,1.386360113,0.916368565,0.683118247,0.543928199,0.336601245
Dre16s,0.995320354,-3.352031461,43.59412603,100,22.46591936,839,11.94855407,8.258733702,6.354867654,5.185981702,3.379851878
eASMO9,0.994758976,-3.722410541,39.52243938,20,10.10540292,50,2.393795107,1.222984295,0.804731008,0.595865959,0.332282126
eASTR4,0.996781177,-3.496056998,39.19415995,20,16.32221071,130,3.845424433,1.962997681,1.291283737,0.95599503,0.533007635
eFISH1,0.99333293,-3.640272083,39.42457108,20,18.08289775,128,4.328949102,2.215216381,1.458465852,1.080237202,0.602608656
eLIPI1,0.995265655,-3.499639447,38.89353264,4,9.262349871,62,2.376576615,1.229715638,0.812874017,0.603278159,0.337393624
eMIDO1,0.990824046,-3.662753815,39.6941933,4,2.685426246,49,1.083046937,0.742861658,0.590245554,0.501121843,0.36535823
eMISA2,0.996125919,-3.715355357,39.25405561,20,12.70197988,159,3.191252919,1.645546525,1.086384035,0.805756445,0.450272877
eONKI4,0.982164894,-3.470810855,38.23234686,20,6.81599015,370,2.139482476,1.086284981,0.67156571,0.462474494,0.210798877
eRAAU1,0.997713042,-3.671223986,39.16182004,20,6.864263531,44,3.394751215,2.248716008,1.678888895,1.338384361,0.830301764
eRACA2,0.995209795,-4.03029748,42.86926834,20,8.574462131,69,2.1407192,1.274670192,0.955268619,0.789808516,0.568317345
eRALU2,0.994446458,-3.706638002,40.49433166,20,18.13592132,4576,5.112735537,2.689711105,1.788836989,1.331686504,0.747692647
eRAPR2,0.996087585,-4.231547771,44.69033792,20,10.26876838,39,2.615296556,1.351569842,0.893022972,0.662611963,0.370471335
GCTM10,0.996355726,-3.410366931,39.0707094,10,2.931243569,25,1.14138995,0.65738979,0.444443114,0.328056527,0.173060645
GCTM22,0.988236484,-3.657159687,41.51020706,10,2.479716856,135,1.117388958,0.700957508,0.503508326,0.389543431,0.226886647
GCTM32,0.982130505,-3.914008525,44.60746751,10,2.435207923,7631,1.173598599,0.765732073,0.565591816,0.447143179,0.272575396
Hno,0.998309995,-3.294172399,36.04222166,5,2.194711442,11,1.018299211,0.649814251,0.472469074,0.368985854,0.219215554
MYPI-6,0.916501455,-2.242391246,42.34230887,250,387.1575037,387.1575037,263.3155371,190.9476011,148.5997476,121.3376331,78.01462484
MYPI-6t,0.987342786,-3.195644201,39.61543481,15.625,7.848214911,55,3.841033577,2.552830677,1.912400066,1.5289971,0.954865029
SC4,0.99756806,-3.344907767,39.63589509,10,3.349168281,20,1.686322471,1.125403981,0.844392656,0.675655694,0.422401438
SC5,0.998587739,-3.286016525,39.47648674,10,3.116129085,13,1.570057172,1.047921552,0.786288853,0.629176009,0.393354409
SVC,0.994025103,-3.392148549,39.90416492,10,15.94234097,15.94234097,6.399194101,4.316468034,3.358365032,2.784570671,1.867273823
YPC,0.996628711,-3.381110713,41.2417562,10,7.733374167,40,3.85816377,2.568791109,1.924829623,1.538770156,0.960293367
