Target,Cq,SQ,Lab,Well,Fluor,Sample,Content,Plate,estimated SQ
NZMS,,,Goldberg,H10,FAM,PCR NEG,NTC,171120_NZMS_LOD,
NZMS,26.38,10000,Goldberg,A01,FAM,NZMS gBlk 10^4,Std-1,171120_NZMS_LOD,
NZMS,26.28,10000,Goldberg,B01,FAM,NZMS gBlk 10^4,Std-1,171120_NZMS_LOD,
NZMS,29.69,1000,Goldberg,C01,FAM,NZMS gBlk 10^3,Std-2,171120_NZMS_LOD,
NZMS,29.56,1000,Goldberg,D01,FAM,NZMS gBlk 10^3,Std-2,171120_NZMS_LOD,
NZMS,33.57,100,Goldberg,E01,FAM,NZMS gBlk 10^2,Std-3,171120_NZMS_LOD,
NZMS,33.59,100,Goldberg,F01,FAM,NZMS gBlk 10^2,Std-3,171120_NZMS_LOD,
NZMS,37.5,10,Goldberg,G01,FAM,NZMS gBlk 10,Std-4,171120_NZMS_LOD,
NZMS,35.89,10,Goldberg,H01,FAM,NZMS gBlk 10,Std-4,171120_NZMS_LOD,
NZMS,35.03,10,Goldberg,A08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,32.35331
NZMS,35.84,10,Goldberg,A09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,18.96354
NZMS,35.64,10,Goldberg,A10,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,21.59549
NZMS,36.22,10,Goldberg,B08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,14.8031
NZMS,36.04,10,Goldberg,B09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,16.58328
NZMS,35.93,10,Goldberg,B10,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,17.84321
NZMS,37.47,10,Goldberg,C08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,6.49403
NZMS,35.22,10,Goldberg,C09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,28.53964
NZMS,35.76,10,Goldberg,C10,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,19.95704
NZMS,36.7,10,Goldberg,D08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,10.74627
NZMS,35.73,10,Goldberg,D09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,20.40469
NZMS,38,10,Goldberg,D10,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,4.57603
NZMS,36.72,10,Goldberg,E08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,10.60522
NZMS,36.23,10,Goldberg,E09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,14.69956
NZMS,36,10,Goldberg,F08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,17.10852
NZMS,35.63,10,Goldberg,F09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,21.78481
NZMS,36.05,10,Goldberg,G08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,16.51481
NZMS,36.69,10,Goldberg,G09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,10.84995
NZMS,36.4,10,Goldberg,H08,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,13.13146
NZMS,36.45,10,Goldberg,H09,FAM,NZMS gBlk 10,Unkn,171120_NZMS_LOD,12.73882
NZMS,33.1,100,Goldberg,A02,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,114.87445
NZMS,33.34,100,Goldberg,A03,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,98.20504
NZMS,32.47,100,Goldberg,A04,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,173.80362
NZMS,32.44,100,Goldberg,B02,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,177.20345
NZMS,32.97,100,Goldberg,B03,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,124.61381
NZMS,32.77,100,Goldberg,B04,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,142.80035
NZMS,32.38,100,Goldberg,C02,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,183.79657
NZMS,32.66,100,Goldberg,C03,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,152.63646
NZMS,33.12,100,Goldberg,C04,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,112.81692
NZMS,32.92,100,Goldberg,D02,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,129.10585
NZMS,32.97,100,Goldberg,D03,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,124.7003
NZMS,32.96,100,Goldberg,D04,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,126.02078
NZMS,32.65,100,Goldberg,E02,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,154.55107
NZMS,32.89,100,Goldberg,E03,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,131.26194
NZMS,33.28,100,Goldberg,F02,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,101.61054
NZMS,32.95,100,Goldberg,F03,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,126.19646
NZMS,32.83,100,Goldberg,G02,FAM,NZMS gBLK 100,Unkn,171120_NZMS_LOD,136.48628
