Target,Lab,Cq,SQ
TargetA,LabA,30.82,500
TargetA,LabA,30.93,500
TargetA,LabA,31.01,500
TargetA,LabA,31.13,500
TargetA,LabA,30.99,500
TargetA,LabA,31.04,500
TargetA,LabA,30.81,500
TargetA,LabA,31.02,500
TargetA,LabA,30.98,500
TargetA,LabA,31.24,500
TargetA,LabA,31.12,500
TargetA,LabA,31.23,500
TargetA,LabA,31.14,500
TargetA,LabA,30.92,500
TargetA,LabA,30.8,500
TargetA,LabA,30.73,500
TargetA,LabA,30.95,500
TargetA,LabA,30.01,500
TargetA,LabA,30.71,500
TargetA,LabA,31.19,500
TargetA,LabA,31.09,500
TargetA,LabA,31.03,500
TargetA,LabA,31.09,500
TargetA,LabA,31.24,500
TargetA,LabA,31.86,250
TargetA,LabA,31.97,250
TargetA,LabA,31.64,250
TargetA,LabA,31.65,250
TargetA,LabA,32.03,250
TargetA,LabA,31.67,250
TargetA,LabA,32.22,250
TargetA,LabA,33.27,250
TargetA,LabA,31.81,250
TargetA,LabA,32.83,250
TargetA,LabA,32.14,250
TargetA,LabA,31.94,250
TargetA,LabA,31.82,250
TargetA,LabA,31.95,250
TargetA,LabA,31.74,250
TargetA,LabA,32.06,250
TargetA,LabA,32.03,250
TargetA,LabA,31.8,250
TargetA,LabA,31.84,250
TargetA,LabA,31.72,250
TargetA,LabA,32.1,250
TargetA,LabA,31.89,250
TargetA,LabA,32.03,250
TargetA,LabA,32.55,250
TargetA,LabA,32.62,125
TargetA,LabA,33.19,125
TargetA,LabA,32.98,125
TargetA,LabA,32.53,125
TargetA,LabA,32.4,125
TargetA,LabA,33.16,125
TargetA,LabA,32.2,125
TargetA,LabA,32.89,125
TargetA,LabA,32.58,125
TargetA,LabA,32.44,125
TargetA,LabA,32.62,125
TargetA,LabA,32.51,125
TargetA,LabA,33.01,125
TargetA,LabA,32.74,125
TargetA,LabA,32.88,125
TargetA,LabA,32.92,125
TargetA,LabA,32.65,125
TargetA,LabA,32.58,125
TargetA,LabA,32.58,125
TargetA,LabA,32.45,125
TargetA,LabA,32.99,125
TargetA,LabA,32.45,125
TargetA,LabA,32.97,125
TargetA,LabA,33.02,125
TargetA,LabA,34,62.5
TargetA,LabA,33.59,62.5
TargetA,LabA,34.13,62.5
TargetA,LabA,33.98,62.5
TargetA,LabA,33.58,62.5
